index,요양기관명,종별코드명,시군구코드명,동,주소,우편번호,x좌표,y좌표
1293,다나치과의원,치과의원,대전유성구,송강동,"대전광역시 유성구 봉산로 27 205호 (송강동, 송강프라자)",34008,127.386508,36.4358886
1294,다니엘치과의원,치과의원,대전유성구,죽동,대전광역시 유성구 죽동로297번길 22 301호 (죽동),34127,127.33787,36.3688431
1295,다복치과의원,치과의원,대전서구,가수원동,대전광역시 서구 계백로1158번길 76 2층 (가수원동),35389,127.3531117,36.3014164
1296,다송치과의원,치과의원,대전서구,월평동,"대전광역시 서구 월평북로 95 304호 (월평동, 만년오피스텔)",35213,127.3789837,36.3624799
1297,다인치과의원,치과의원,대전대덕구,신탄진동,대전광역시 대덕구 신탄진로 836 7층 (신탄진동),34306,127.429098,36.4520552
1298,다인치과의원,치과의원,대전동구,성남동,대전광역시 동구 우암로 163-1 (성남동),34591,127.4355957,36.3407247
1299,닥터신치과의원,치과의원,대전서구,도안동,대전광역시 서구 도안동로 9 리더스프라자비 4층 (가수원동),35368,127.3525349,36.3059223
1300,닥터은치과의원,치과의원,대전중구,목동,"대전광역시 중구 동서대로 1403 4층 (목동, 동산빌딩)",34815,127.412218,36.3340868
1301,달라스연합치과의원,치과의원,대전유성구,지족동,대전광역시 유성구 은구비로 36 (지족동),34086,127.3189963,36.3756029
1302,당신이웃는치과의원,치과의원,대전동구,낭월동,대전광역시 동구 산내로 1354 2층 (낭월동),34702,127.4662652,36.2840558
1303,대건치과의원,치과의원,대전서구,갈마동,대전광역시 서구 신갈마로 122 4층 (갈마동),35281,127.3687366,36.3443611
